case_id,topology_name,fault_category,osi_layer,concept_tag,what_was_broken,symptom_description,show_command_used,show_command_output,expected_root_cause,expected_fix,severity,notes,case_type
C012,Lab2_DHCP_DNS,DHCP,Layer3,Wrong default-router in pool,ip dhcp pool default-router set to 192.168.10.254 (nonexistent) instead of 192.168.10.1,"Clients receive a valid IP address via DHCP successfully, but none of them can reach any remote network or the internet.",show run | section dhcp ; ipconfig /all (on PC),"Router#show run | section dhcp
ip dhcp pool LAN_POOL
 network 192.168.10.0 255.255.255.0
 default-router 192.168.10.254
 dns-server 192.168.10.53

PC1> ipconfig /all
   IP Address.....................: 192.168.10.20
   Default Gateway.................: 192.168.10.254","The DHCP pool is handing out an incorrect default-router (gateway) address that doesn't correspond to any live interface, so clients get an IP but have no working path off-subnet.","1. Confirm the router's true gateway IP: show ip interface brief
2. Fix the pool: ip dhcp pool LAN_POOL -> default-router 192.168.10.1
3. Release/renew on a client to pick up the corrected gateway: ipconfig /release, ipconfig /renew
4. Confirm with ipconfig /all that the new gateway matches, then test connectivity to a remote subnet.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C013,Lab2_DHCP_DNS,DHCP,Layer3,Excluded address range too broad,ip dhcp excluded-address 192.168.10.1 192.168.10.254 (excludes the entire usable range),"No client receives any IP address from DHCP, even though the pool and network statement both appear correctly configured.",show run | include excluded-address,"Router#show run | include excluded-address
ip dhcp excluded-address 192.168.10.1 192.168.10.254","The excluded-address range covers the entire usable host range of the subnet, leaving the DHCP pool with zero addresses actually available to lease.","1. Check exclusions: show run | include excluded-address
2. Narrow the exclusion to just what's actually reserved (typically the gateway and any static servers): no ip dhcp excluded-address 192.168.10.1 192.168.10.254, then ip dhcp excluded-address 192.168.10.1 192.168.10.10
3. Verify pool availability: show ip dhcp pool -- 'Total addresses' should now be meaningfully greater than 0
4. Test a client renewal to confirm it now receives an address.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C014,Lab2_DHCP_DNS,DNS,Layer7,Wrong DNS server address in DHCP,ip dhcp pool dns-server set to 8.8.4.4 instead of internal DNS 192.168.10.53,Users can browse to internal servers by IP address but typing a hostname/website fails with a 'server not found' style error.,show run | section dhcp ; nslookup (on PC),"Router#show run | section dhcp
ip dhcp pool LAN_POOL
 network 192.168.10.0 255.255.255.0
 default-router 192.168.10.1
 dns-server 8.8.4.4

PC1> nslookup fileserver.local
DNS request timed out.
*** Request to 8.8.4.4 timed-out","The DHCP-assigned DNS server (8.8.4.4, a public resolver) cannot resolve the organization's internal hostnames, and/or is unreachable from this isolated lab topology.","1. Identify the intended internal DNS server's IP (e.g. 192.168.10.53, hosted on the internal Server device)
2. Correct the pool: ip dhcp pool LAN_POOL -> dns-server 192.168.10.53
3. Release/renew the affected client and re-test with nslookup fileserver.local
4. If external resolution is also required, configure DNS forwarding on the internal server to a reachable public resolver.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C015,Lab2_DHCP_DNS,DNS,Layer7,DNS server unreachable,Interface connecting to the internal DNS server shut down,"All clients lose the ability to resolve any hostname, even though their DNS server setting is correct.",ping <dns-server-ip> ; show ip interface brief (on the connecting switch/router),"PC1> ping 192.168.10.53

Pinging 192.168.10.53 with 32 bytes of data:
Request timed out.
Request timed out.
Request timed out.
Request timed out.

Ping statistics for 192.168.10.53:
    Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)",The internal DNS server (192.168.10.53) is unreachable at the network layer -- most likely its uplink interface is down or the device itself is powered off -- so DNS queries never get a response regardless of correct client configuration.,"1. Confirm reachability first with a basic ping to the DNS server's IP -- if that fails, this is a connectivity issue, not a DNS configuration issue
2. Check the server's own network settings and the switch port/interface it connects through: show ip interface brief on the relevant device
3. Re-enable any shut interfaces (no shutdown) or verify the server device is powered on in Packet Tracer
4. Once ping to 192.168.10.53 succeeds, re-test DNS resolution with nslookup from a client.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C016,Lab2_DHCP_DNS,DNS,Layer7,Static DNS override on one PC,"PC4's network adapter manually set to use DNS server 1.1.1.99 (invalid), overriding DHCP",One specific PC cannot resolve any hostname while every other PC on the same network resolves normally.,ipconfig /all (on PC4),"PC4> ipconfig /all
   IP Address.....................: 192.168.10.24
   Subnet Mask......................: 255.255.255.0
   Default Gateway...................: 192.168.10.1
   DNS Servers........................: 1.1.1.99","PC4 has a manually configured (static) DNS server address that is invalid/unreachable, overriding whatever value it would have otherwise received via DHCP.","1. Since only one PC is affected, compare its ipconfig /all output against a working PC's -- the DNS Servers field is the key difference to look for
2. On PC4, open IP Configuration and switch DNS back to 'DHCP' (automatic) mode, or manually correct it to 192.168.10.53
3. If DHCP mode is used, run ipconfig /release then ipconfig /renew to pick up the correct value
4. Re-test with nslookup to confirm resolution now works.",Low,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C017,Lab2_DHCP_DNS,DNS,Layer7,Missing DNS record,A record for fileserver.local removed from the internal DNS server's zone,"Clients can resolve most hostnames normally, but one specific server name consistently fails to resolve.",nslookup fileserver.local,"PC1> nslookup fileserver.local
Server:  dns.local
Address:  192.168.10.53

*** dns.local can't find fileserver.local: Non-existent domain","The DNS server itself is reachable and answering queries correctly, but the specific A record for fileserver.local is missing from its zone data, so it correctly reports the name doesn't exist.","1. Confirm the DNS server is otherwise healthy by resolving a different, working hostname first
2. Open the DNS service configuration on the internal Server device in Packet Tracer
3. Add the missing A record: name = fileserver.local, type = A, address = <fileserver's real IP>
4. Re-test with nslookup fileserver.local from a client to confirm resolution now succeeds.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C018,Lab3_Routing,Routing,Layer3,Missing static route,ip route 192.168.20.0 255.255.255.0 <next-hop> removed from Router A,Site A hosts cannot reach any Site B host; local Site A communication is unaffected.,show ip route,"RouterA#show ip route
Gateway of last resort is not set

     192.168.10.0/24 is variably subnetted, 2 subnets, 2 masks
C       192.168.10.0/24 is directly connected, GigabitEthernet0/0
C       192.168.30.0/30 is directly connected, Serial0/0/0
     (no route to 192.168.20.0/24)","There is no routing table entry for the remote 192.168.20.0/24 subnet (Site B), so Router A has no idea how to forward traffic destined there and silently drops it.","1. Confirm the missing route: show ip route on Router A -- look for the absence of a 192.168.20.0/24 entry
2. Re-add the static route: ip route 192.168.20.0 255.255.255.0 192.168.30.2 (use your actual next-hop IP or exit interface)
3. Re-verify: show ip route should now show an 'S' (static) entry for 192.168.20.0/24
4. Also check Router B has a return route back to 192.168.10.0/24 -- see the asymmetric routing case for why this matters.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C019,Lab3_Routing,Routing,Layer3,Wrong next-hop in static route,ip route 192.168.20.0 255.255.255.0 192.168.30.99 (wrong next-hop; actual is .2),Traceroute from Site A reaches the local router hop but fails immediately after; connectivity to Site B fails entirely.,show ip route ; tracert (from PC),"RouterA#show ip route
S    192.168.20.0/24 [1/0] via 192.168.30.99

PC1> tracert 192.168.20.10
 1   2 ms   1 ms   1 ms  192.168.10.1
 2   *      *      *     Request timed out.
 3   *      *      *     Request timed out.","The static route's next-hop IP (192.168.30.99) does not correspond to any real, reachable router interface -- the actual next hop is 192.168.30.2 -- so packets forwarded there are dropped.","1. Identify the correct next-hop by checking the connected router's interface: show ip interface brief on Router B (should show 192.168.30.2 on the shared link)
2. Remove the bad route and add the correct one: no ip route 192.168.20.0 255.255.255.0 192.168.30.99, then ip route 192.168.20.0 255.255.255.0 192.168.30.2
3. Verify: show ip route, then re-run tracert from a Site A PC to confirm all hops now respond.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C020,Lab3_Routing,Routing,Layer3,OSPF network statement missing,network 192.168.20.0 0.0.0.255 area 0 removed from OSPF process,"OSPF neighbor relationships form fine, but hosts on one specific subnet are unreachable from the rest of the OSPF domain.",show ip protocols ; show ip route,"RouterB#show ip protocols
Routing Protocol is ""ospf 1""
  Router ID 2.2.2.2
  Routing for Networks:
    192.168.10.0 0.0.0.255 area 0
  (192.168.20.0/24 network statement missing)

RouterA#show ip route
     (no OSPF-learned route to 192.168.20.0/24)","OSPF is not advertising the 192.168.20.0/24 network because its 'network' statement was removed from the OSPF process on the router that owns that subnet, so no other router in the domain learns a route to it.","1. On the router that owns the missing subnet, check current advertisements: show ip protocols
2. Re-enter OSPF configuration and add the network statement: router ospf 1 -> network 192.168.20.0 0.0.0.255 area 0
3. Verify the route propagates: on a remote router, show ip route -- an 'O' (OSPF) entry for 192.168.20.0/24 should appear within seconds
4. Confirm end-to-end reachability with a ping from a remote-subnet host.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C021,Lab3_Routing,Routing,Layer3,OSPF area mismatch,Serial interface OSPF area changed to area 1 on one router while the neighbor stays in area 0,OSPF neighbor adjacency gets stuck (state stays in EXSTART or never reaches FULL); no routes are learned across that link.,show ip ospf neighbor,"RouterA#show ip ospf neighbor

Neighbor ID     Pri   State           Dead Time   Address         Interface
2.2.2.2          1    EXSTART/  -     00:00:32    192.168.30.2    Serial0/0/0","The two routers have configured the shared link's interface under different OSPF areas, which prevents the adjacency from ever completing (stuck below FULL state).","1. Compare area assignment on both sides: show ip protocols on each router, checking the network statement's area number for the shared link
2. Correct the mismatched router to use the same area as its neighbor: router ospf 1 -> network 192.168.30.0 0.0.0.3 area 0 (matching the correct area)
3. Clear the OSPF process to force renegotiation if needed: clear ip ospf process
4. Verify with show ip ospf neighbor that the state reaches FULL.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C022,Lab3_Routing,Routing,Layer3,One-way (asymmetric) static routing,"Static route to Site B added on Router A, but no return route to Site A configured on Router B","Site A can successfully ping Site B, but Site B cannot ping back to Site A -- one-directional connectivity.",show ip route (on both routers),"RouterA#show ip route
S    192.168.20.0/24 [1/0] via 192.168.30.2

RouterB#show ip route
     192.168.30.0/24 is directly connected, Serial0/0/0
     (no route to 192.168.10.0/24 present)","Router A has a route to Site B's subnet, but Router B has no corresponding route back to Site A's subnet -- so replies from Site B (or Site B-initiated traffic) can never find their way back.","1. Always check routing tables on BOTH ends of a suspected asymmetric issue, not just where the symptom was reported: show ip route on Router A AND Router B
2. Add the missing return route on Router B: ip route 192.168.10.0 255.255.255.0 192.168.30.1
3. Verify: show ip route on Router B should now list the new static route
4. Re-test bidirectionally -- ping Site A to Site B, then Site B to Site A -- to confirm symmetry is restored.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C023,Lab4_ACL_NAT,ACL,Layer3/4,Deny placed before permit,access-list 101 line 5 deny ip any any inserted above the permit tcp any any eq 80 line,"Internal hosts cannot reach the external web server on port 80, despite correct routing and NAT.",show access-lists,"Router#show access-lists
Extended IP access list 101
    5 deny ip any any (312 matches)
    10 permit tcp any any eq www",The ACL evaluates top-down and stops at the first match -- the 'deny ip any any' at sequence 5 catches all traffic before it ever reaches the intended 'permit tcp any any eq 80' rule at sequence 10.,"1. View the ACL in evaluation order: show access-lists -- note the sequence numbers and which line is matching traffic (check the 'matches' counter)
2. Remove the misplaced deny: configure terminal -> ip access-list extended 101 -> no 5 deny ip any any
3. Optionally re-insert it correctly at the end: 30 deny ip any any log (explicit deny with logging, placed last)
4. Verify with show access-lists that permit lines are now evaluated before any catch-all deny
5. Re-test web access from an internal host.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C024,Lab4_ACL_NAT,ACL,Layer3/4,ACL applied to wrong interface/direction,ip access-group 101 in applied to the internal LAN-facing interface instead of the internet-facing one,"Traffic from internal hosts to the internet is blocked, while traffic between internal subnets works normally.",show ip interface Gi0/0 | include access list,"Router#show ip interface GigabitEthernet0/0 | include access list
  Outgoing access list is not set
  Inbound  access list is 101","ACL 101 was applied inbound on Gi0/0 (the internal LAN interface) rather than the intended internet-facing interface, so it's filtering traffic in the wrong place/direction relative to the design intent.","1. Confirm which interface/direction the ACL is currently applied to: show ip interface <int> | include access list, for each candidate interface
2. Remove it from the wrong interface: interface Gi0/0 -> no ip access-group 101 in
3. Apply it correctly on the intended interface and direction (e.g. outbound on the internet-facing interface, or inbound where traffic actually needs filtering per your design): interface Gi0/1 -> ip access-group 101 out
4. Re-verify placement and re-test the originally blocked traffic.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C025,Lab4_ACL_NAT,ACL,Layer3/4,"ACL too narrow, blocks needed traffic","access-list 110 written to permit only tcp any any eq 80, with no other permits","Web browsing works, but ping and DNS lookups from the same hosts fail entirely.",show access-lists,"Router#show access-lists
Extended IP access list 110
    10 permit tcp any any eq www (88 matches)
    (implicit deny ip any any at end -- not shown, but always present)","The ACL only explicitly permits TCP port 80; every other protocol/port (ICMP for ping, UDP/53 for DNS) falls through to the implicit 'deny ip any any' that exists at the end of every ACL.","1. Identify exactly what the ACL currently permits: show access-lists -- remember there's always an invisible 'deny ip any any' at the end
2. Add explicit permits for each additional required protocol: ip access-list extended 110 -> permit icmp any any -> permit udp any any eq 53 -> permit tcp any any eq 53 (DNS can use TCP too)
3. Consider adding a final explicit 'deny ip any any log' for visibility into what's being blocked, rather than relying on the silent implicit deny
4. Re-test ping and nslookup from an affected host.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C026,Lab4_ACL_NAT,ACL,Layer3/4,Wrong wildcard mask,access-list 105 permit ip 192.168.10.0 0.0.0.15 any (wildcard too narrow for a /24),"Some hosts in the subnet can reach the destination while others in the same /24 subnet cannot, seemingly at random by IP address.",show access-lists,"Router#show access-lists
Extended IP access list 105
    10 permit ip 192.168.10.0 0.0.0.15 any (matches only .1-.15 range)","The wildcard mask 0.0.0.15 only covers a 16-address block (a /28), not the intended full /24 subnet (which needs wildcard 0.0.0.255) -- so hosts outside the .1-.15 range fall through to the implicit deny.","1. Recalculate the correct wildcard mask for your intended subnet size: for a /24 (255.255.255.0), the wildcard is 0.0.0.255 (subnet mask and wildcard are inverses of each other)
2. Correct the ACL line: no 10 permit ip 192.168.10.0 0.0.0.15 any, then 10 permit ip 192.168.10.0 0.0.0.255 any
3. Verify with show access-lists that the corrected wildcard is in place
4. Re-test from a previously-blocked host (e.g. 192.168.10.50) to confirm it now matches the permit rule.",Medium,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
C027,Lab4_ACL_NAT,NAT,Layer3,NAT overload statement removed,no ip nat inside source list 1 interface Gi0/1 overload,Internal PCs can ping each other but cannot reach any internet host.,show ip nat translations ; show run | include ip nat inside source,"Router#show ip nat translations
(no active translations)

Router#show run | include ip nat inside source
(no matching lines found)","NAT/PAT (overload) is not configured at all, so internal private IP addresses are never translated to a routable public address for internet-bound traffic.","1. Confirm NAT config is absent: show run | include ip nat inside source
2. Re-add the overload statement, referencing your NAT ACL and outside interface: ip nat inside source list 1 interface GigabitEthernet0/1 overload
3. Confirm the ACL referenced (access-list 1) correctly permits the internal subnet
4. Verify interfaces are marked correctly (see next case) and re-test internet access from an internal PC
5. Check show ip nat translations again -- active entries should now appear as traffic flows.",High,Synthetic template case - replace show_command_output with your own real Packet Tracer capture before submission,hands_on_lab
